id	country	Dbpedia_URI	eurostat_URI	factbook_URI	Gadm_URI	wikiData_URI	ghodata_URI	geonames_URI	cyc_URI	openei_URI	linkedgeodata_URI	YAGO_URI	aims_URI	ontologyportal_URI	number_deaths_due_HIV	label
1	Afghanistan	http://dbpedia.org/resource/Afghanistan	http://eurostat.linked-statistics.org/dic/c_ctrl#AF	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Afghanistan	http://gadm.geovocab.org/id/0_2	http://wikidata.org/entity/Q889	http://ghodata/r6-c6	http://sws.geonames.org/1149361/	http://sw.cyc.com/concept/Mx4rvViIFpwpEbGdrcN5Y29ycA	http://openei.org/resources/Afghanistan	http://linkedgeodata.org/triplify/node26847706	http://yago-knowledge.org/resource/Afghanistan	http://aims.fao.org/aos/geopolitical.owl#Afghanistan	http://www.ontologyportal.org/SUMO.owl#Afghanistan	500	low
2	Albania	http://dbpedia.org/resource/Albania	http://eurostat.linked-statistics.org/dic/c_ctrl#AL	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Albania	http://gadm.geovocab.org/id/0_6	http://wikidata.org/entity/Q222	http://ghodata/r6-c7	http://sws.geonames.org/783754/	http://sw.cyc.com/concept/Mx4rvViNj5wpEbGdrcN5Y29ycA	http://openei.org/resources/Albania	http://linkedgeodata.org/triplify/node424310601	http://yago-knowledge.org/resource/Albania	http://aims.fao.org/aos/geopolitical.owl#Albania	http://www.ontologyportal.org/SUMO.owl#Albania	100	low
3	Algeria	http://dbpedia.org/resource/Algeria	http://eurostat.linked-statistics.org/dic/c_ctrl#DZ	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Algeria	http://gadm.geovocab.org/id/0_65	http://wikidata.org/entity/Q262	http://ghodata/r6-c8	http://sws.geonames.org/2589581/	http://sw.cyc.com/concept/Mx4rvViMkpwpEbGdrcN5Y29ycA	http://openei.org/resources/Algeria	http://linkedgeodata.org/triplify/node432424926	http://yago-knowledge.org/resource/Algeria	http://aims.fao.org/aos/geopolitical.owl#Algeria	http://www.ontologyportal.org/SUMO.owl#Algeria	1400	high
4	Angola	http://dbpedia.org/resource/Angola	http://eurostat.linked-statistics.org/dic/c_ctrl#AO	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Angola	http://gadm.geovocab.org/id/0_3	http://wikidata.org/entity/Q916	http://ghodata/r6-c10	http://sws.geonames.org/3351879/	http://sw.cyc.com/concept/Mx4rvVjloJwpEbGdrcN5Y29ycA	http://openei.org/resources/Angola	http://linkedgeodata.org/triplify/node424310875	http://yago-knowledge.org/resource/Angola	http://aims.fao.org/aos/geopolitical.owl#Angola	http://www.ontologyportal.org/SUMO.owl#Angola	12000	high
5	Argentina	http://dbpedia.org/resource/Argentina	http://eurostat.linked-statistics.org/dic/c_ctrl#AR	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Argentina	http://gadm.geovocab.org/id/0_10	http://wikidata.org/entity/Q414	http://ghodata/r6-c12	http://sws.geonames.org/3865483/	http://sw.cyc.com/concept/Mx4rvVjX8ZwpEbGdrcN5Y29ycA	http://openei.org/resources/Argentina	http://linkedgeodata.org/triplify/node249399280	http://yago-knowledge.org/resource/Argentina	http://aims.fao.org/aos/geopolitical.owl#Argentina	http://www.ontologyportal.org/SUMO.owl#Argentina	1500	high
6	Armenia	http://dbpedia.org/resource/Armenia	http://eurostat.linked-statistics.org/dic/c_ctrl#AM	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Armenia	http://gadm.geovocab.org/id/0_11	http://wikidata.org/entity/Q399	http://ghodata/r6-c13	http://sws.geonames.org/174982/	http://sw.cyc.com/concept/Mx4rwQBjg5wpEbGdrcN5Y29ycA	http://openei.org/resources/Armenia	http://linkedgeodata.org/triplify/node249399277	http://yago-knowledge.org/resource/Armenia	http://aims.fao.org/aos/geopolitical.owl#Armenia	http://www.ontologyportal.org/SUMO.owl#Armenia	200	low
7	Australia	http://dbpedia.org/resource/Australia	http://eurostat.linked-statistics.org/dic/c_ctrl#AU	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Australia	http://gadm.geovocab.org/id/1_152	http://wikidata.org/entity/Q408	http://ghodata/r6-c14	http://sws.geonames.org/2077456/	http://sw.cyc.com/concept/Mx4rvViUs5wpEbGdrcN5Y29ycA	http://openei.org/resources/Australia	?	http://yago-knowledge.org/resource/Australia	http://aims.fao.org/aos/geopolitical.owl#Australia	http://www.ontologyportal.org/SUMO.owl#Australia	100	low
8	Azerbaijan	http://dbpedia.org/resource/Azerbaijan	http://eurostat.linked-statistics.org/dic/c_ctrl#AZ	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Azerbaijan	http://gadm.geovocab.org/id/0_18	http://wikidata.org/entity/Q227	http://ghodata/r6-c16	http://sws.geonames.org/587116/	http://sw.cyc.com/concept/Mx4rvfLfM5wpEbGdrcN5Y29ycA	http://openei.org/resources/Azerbaijan	http://linkedgeodata.org/triplify/node424313675	http://yago-knowledge.org/resource/Azerbaijan	http://aims.fao.org/aos/geopolitical.owl#Azerbaijan	http://www.ontologyportal.org/SUMO.owl#Azerbaijan	1000	low
9	Bahamas	http://dbpedia.org/resource/Bahamas	?	?	?	?	?	?	?	?	?	?	?	?	1000	low
10	Bangladesh	http://dbpedia.org/resource/Bangladesh	http://eurostat.linked-statistics.org/dic/c_ctrl#BD	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Bangladesh	http://gadm.geovocab.org/id/0_23	http://wikidata.org/entity/Q902	http://ghodata/r6-c19	http://sws.geonames.org/1210997/	http://sw.cyc.com/concept/Mx4rvVkBc5wpEbGdrcN5Y29ycA	http://openei.org/resources/Bangladesh	http://linkedgeodata.org/triplify/node432424937	http://yago-knowledge.org/resource/Bangladesh	http://aims.fao.org/aos/geopolitical.owl#Bangladesh	http://www.ontologyportal.org/SUMO.owl#Bangladesh	500	low
